score,floor,viewing,view_time,address,area,price,living_area,rooms,monthly_fee,price_per_m2,features,agent,url
0.433,4/5,Sun 3 aug,11:00,Bataljonsgatan 29,Södra Ekkällan,1995000,56.0,2,4 467,35625,"Premium, Hiss",Svensk Fastighetsförmedling Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-sodra-ekkallan-linkopings-kommun-bataljonsgatan-29-21561722
0.642,1/3,Sun 10 aug,11:15,Banérgatan 16A,Vasastaden,1665000,42.9,2,2 999,38811,,Svensk Fastighetsförmedling Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-vasastaden-linkopings-kommun-banergatan-16a-21478436
0.617,3/6,Sun 10 aug,12:00,Timmermansgatan 1C,Övre Vasastaden,1695000,36.0,1,2 245,47083,"Balkong, Hiss",Svensk Fastighetsförmedling Linköping,https://www.hemnet.se/bostad/lagenhet-1rum-ovre-vasastaden-linkopings-kommun-timmermansgatan-1c-21473933
0.517,6/14,Sun 17 aug,12:15,Thorells gata 12,Vasastaden,1895000,47.0,1,3 288,40319,"Premium, Balkong, Hiss",Elite Fastighetsmäklare,https://www.hemnet.se/bostad/lagenhet-1rum-vasastaden-linkopings-kommun-thorells-gata-12-18829141
0.55,4/10,,,Rotegatan 8,Södra Ekkällan,1750000,40.0,1,3 298,43750,"Balkong, Hiss",Notar,https://www.hemnet.se/bostad/lagenhet-1rum-sodra-ekkallan-linkopings-kommun-rotegatan-8-21575614
0.613,"3,5/4",,,"Arkitekturgränd 11G, lgh 16",Vallastaden,1675000,39.0,2,4 656,42949,"Plus, Balkong, Hiss",Länsförsäkringar Fastighetsförmedling Linköping,"https://www.hemnet.se/bostad/lagenhet-2rum-vallastaden-linkopings-kommun-arkitekturgrand-11g,-lgh-16-21575182"
0.715,11/11,,,Rotegatan 8,Södra Ekkällan,1995000,40.0,1.5,3 298,49875,"Premium, Balkong, Hiss",HusmanHagberg Linköping,"https://www.hemnet.se/bostad/lagenhet-1,5rum-sodra-ekkallan-linkopings-kommun-rotegatan-8-21574890"
0.648,1,,,Kungsberget 2,Tannefors,1675000,42.1,2,2 798,39786,"Balkong, Hiss",Notar,https://www.hemnet.se/bostad/lagenhet-2rum-tannefors-linkopings-kommun-kungsberget-2-21574205
0.597,5/5,,,Kunskapslänken 94,Vallastaden,1895000,53.0,2,3 304,35755,"Balkong, Hiss",HusmanHagberg Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-vallastaden-linkopings-kommun-kunskapslanken-94-21574570
0.659,2/4,,,Lärdomsgatan 1,Vallastaden,1695000,37.0,1.5,2 898,45811,"Premium, Balkong, Hiss",SkandiaMäklarna Linköping,"https://www.hemnet.se/bostad/lagenhet-1,5rum-vallastaden-linkopings-kommun-lardomsgatan-1-21353514"
0.543,3/6,,,Nordengatan 3B,Vasastaden,1850000,47.0,2,3 691,39362,"Premium, Balkong, Hiss",Notar,https://www.hemnet.se/bostad/lagenhet-2rum-vasastaden-linkopings-kommun-nordengatan-3b-21572029
0.314,0/7,,,Folkungaallén,Folkungavallen,1895600,42.0,1,3 642,45133,"Nyproduktion, Uteplats, Hiss",Skanska Sverige AB,https://www.hemnet.se/bostad/lagenhet-1rum-folkungavallen-linkopings-kommun-folkungaallen-21338329
0.201,1,,,Ridderstads Gata 30,Berga,1995000,81.0,3,4 970,24630,"Premium, Uteplats, Hiss, Energieffektiv",Fastighetsbyrån Linköping,https://www.hemnet.se/bostad/lagenhet-3rum-berga-linkopings-kommun-ridderstads-gata-30-21516826
0.508,1/7,,,Ridderstads Gata 34,Berga,1695000,60.0,2,4 929,28250,"Uteplats, Hiss, Energieffektiv",SkandiaMäklarna Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-berga-linkopings-kommun-ridderstads-gata-34-21482966
0.335,1/5,,,Fredrik Hasselqvists gata 1,Vallastaden,1695000,57.0,1.5,7 841,29737,"Premium, Uteplats, Hiss",Svensk Fastighetsförmedling Linköping,"https://www.hemnet.se/bostad/lagenhet-1,5rum-vallastaden-linkopings-kommun-fredrik-hasselqvists-gata-1-16210857"
0.344,0/4,,,Ekholmsvägen,Linköping,1935000,55.0,2,4 588,35182,"Premium, Nyproduktion, Vintern -26/27, Balkong, Hiss",Riksbyggen ekonomisk förening,https://www.hemnet.se/bostad/lagenhet-2rum-linkopings-kommun-ekholmsvagen-21362811
0.5,3/3,,,Fredrik Hasselqvists gata 3,Vallastaden,1845000,48.5,2,4 457,38041,"Balkong, Hiss",Properties & Partners Norrköping,https://www.hemnet.se/bostad/lagenhet-2rum-vallastaden-linkopings-kommun-fredrik-hasselqvists-gata-3-21367025
0.448,1/3,,,Nya Tanneforsvägen 29B,Tannefors,1850000,56.5,2,4 257,32743,"Premium, Balkong",HusmanHagberg Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-tannefors-linkopings-kommun-nya-tanneforsvagen-29b-21506209
0.484,3/3,,,Johannelundsvägen 37,Johannelund,1695000,73.5,3,4 493,23061,Premium,SkandiaMäklarna Linköping,https://www.hemnet.se/bostad/lagenhet-3rum-johannelund-linkopings-kommun-johannelundsvagen-37-21565521
